# PLATEIFU     MANGAID     Z           NSA_Z       NSA_ZDIST   NSA_ELPETRO_BA   NSA_ELPETRO_PHI   NSA_ELPETRO_TH50_R   NSA_SERSIC_BA   NSA_SERSIC_PHI   NSA_SERSIC_TH50   NSA_SERSIC_N  
  7975-12701   1-114121    0.0879313   0.0879313   0.0886619   0.520187         29.7336           6.238                0.389243        30.5847          9.24157           3.34996       
  7975-12702   1-114129    0.0774097   0.0774097   0.0781447   0.521832         46.7495           10.6624              0.661313        21.4079          7.97592           6.0           
  7975-12703   1-114325    0.0288791   0.0288791   0.0296375   0.244175         170.988           15.3995              0.173025        171.087          18.7682           1.02141       
  7975-12705   1-114073    0.0402895   0.0402895   0.0410387   0.775431         104.502           8.94859              0.751254        90.5187          29.8311           3.52146       
  7975-6101    1-114128    0.077875    0.077875    0.07861     0.864153         38.7848           3.28624              0.758711        40.3505          4.43487           3.85479       
  7975-1901    1-114303    0.0220107   0.0220107   0.0227581   0.505907         11.7747           9.02474              0.37161         9.83627          13.2188           2.47554       
  7975-6103    1-114502    0.0798058   0.0798058   0.0805633   0.960909         79.3961           3.43077              0.869967        67.6639          5.88076           6.0           
  7975-6104    1-114465    0.0788547   0.0788547   0.0795953   0.867381         100.761           4.04488              0.87799         98.1721          4.50108           2.40243       
  7990-1902    1-634828    0.0300503   0.0300503   0.0307947   0.750973         57.8956           3.35966              0.578697        58.1431          5.94179           6.0           
  7990-3701    1-23894     0.030415    0.030415    0.0311364   0.721846         91.2139           5.00001              0.626501        91.3944          6.44827           3.78586       
  7990-3704    1-24394     0.0290645   0.0290645   0.0297922   0.822284         19.6478           4.27635              0.694904        26.101           6.83398           5.34163       
  7990-3703    1-24357     0.0285483   0.0285483   0.029281    0.620406         87.919            4.6951               0.555031        86.9226          5.00264           1.98261       
  7990-6103    1-25688     0.0292359   0.0292359   0.0299712   0.94203          67.0745           5.66707              0.915633        80.9304          7.13715           2.28245       
  7990-3702    1-24390     0.0296945   0.0296945   0.0304237   0.406663         171.202           4.32821              0.259461        171.229          5.15795           1.68484       
  7990-6101    1-23866     0.0271715   0.0271715   0.0278936   0.609206         95.1817           5.77191              0.536648        94.363           6.24797           1.36674       
  7990-9101    1-23914     0.0280084   0.0280084   0.0287248   0.379674         24.0345           6.97377              0.289134        23.9057          7.80758           0.983197      
  7990-9102    1-25609     0.0291846   0.0291846   0.0299154   0.264841         66.6321           7.34797              0.159861        66.5593          8.63965           1.41183       
  7990-12704   1-25554     0.0268193   0.0268193   0.0275593   0.591268         82.0645           9.84685              0.476126        79.8531          15.4401           3.25107       
  7990-6102    1-24379     0.0267901   0.0267901   0.0275146   0.352905         25.9963           5.45357              0.201518        26.3713          6.42831           1.11685       
  7990-12702   1-23877     0.0283643   0.0283643   0.0290879   0.339271         20.017            11.1796              0.206063        19.5555          15.0226           1.74778       
  7990-1901    1-634825    0.0300175   0.0300175   0.0307614   0.855235         0.376068          3.54628              0.747904        2.41586          4.83557           4.52201       
  7990-12705   1-24476     0.0295157   0.0295157   0.0302617   0.654457         108.993           8.79169              0.591115        107.761          13.4704           4.08091       
  7990-12703   1-25517     0.0113986   0.0113986   0.0112169   0.28428          115.55            10.8901              0.16814         115.704          12.3754           0.898116      
  7990-6104    1-25593     0.026199    0.026199    0.026935    0.852867         50.2295           6.27678              0.847578        41.1682          10.6286           3.58472       
  7990-12701   1-24414     0.0297644   0.0297644   0.030499    0.841722         126.811           9.36727              0.795372        121.918          11.2613           1.49082       
  8082-6103    1-38155     0.0238831   0.0238831   0.0241506   0.793699         129.792           5.74034              0.741415        128.924          6.14777           1.37355       
  8082-3701    1-37996     0.0212637   0.0212637   0.0214973   0.608738         149.316           2.87481              0.15            148.93           1.72783           3.34886       
  8082-6102    1-38167     0.0241663   0.0241663   0.024427    0.964412         61.5748           6.00625              0.959783        27.9081          9.50051           6.0           
  8082-6101    1-38012     0.0213555   0.0213555   0.0215905   0.817786         107.229           5.55348              0.629675        113.531          7.9124            4.50461       
  8082-1902    1-604037    0.0210053   0.0210053   0.021268    0.699997         112.774           3.26276              0.586853        112.127          3.66308           3.16368       
  8082-9102    1-109394    0.0361073   0.0361073   0.0363433   0.42712          114.911           7.17137              0.314274        115.475          8.41406           1.3022        
  8082-12703   1-38042     0.021046    0.021046    0.0213315   0.357416         44.5598           9.16724              0.254311        46.6442          10.3344           1.46071       
  8082-3703    1-37998     0.0207893   0.0207893   0.0210558   0.771803         42.9807           3.21819              0.650212        42.9153          5.07906           6.0           
  8082-12704   1-109308    0.131681    0.131681    0.13193     0.612231         164.357           6.12536              0.436338        161.188          17.7696           5.32751       
  8082-12705   1-38008     0.0548073   0.0548073   0.055048    0.63135          101.62            10.9185              0.707889        94.0062          15.1278           5.23163       
  8082-9101    1-37965     0.0209924   0.0209924   0.0212864   0.914736         154.966           7.80646              0.900807        137.144          8.6558            1.15296       
  8082-12702   1-38101     0.0259804   0.0259804   0.0262448   0.484718         65.4308           15.4336              0.384924        64.0325          33.4277           5.40326       
  8082-12701   1-604017    0.0268005   0.0268005   0.0270493   0.680154         6.84366           9.84356              0.618159        6.651            14.6593           2.95736       
  8082-6104    1-38217     0.0523085   0.0523085   0.0525575   0.805473         173.624           6.30787              0.653794        4.33392          8.1339            6.0           
  8082-1901    1-38103     0.0285588   0.0285588   0.0288265   0.942915         163.023           2.06588              0.800753        21.4217          2.58769           6.0           
  8082-3704    1-38374     0.0238287   0.0238287   0.0240654   0.545121         155.803           3.38584              0.415973        157.271          3.91752           2.50845       
  8082-3702    1-37973     0.0213565   0.0213565   0.021622    0.447441         146.493           5.10403              0.250958        146.287          5.26559           1.41237       
  8131-1901    1-338389    0.0723719   0.0723719   0.0725952   0.823746         139.985           5.95312              0.820047        137.056          16.3248           6.0           
  8131-1902    1-338279    0.117849    0.117849    0.118057    0.890151         91.006            3.34524              0.934123        95.5842          4.93199           6.0           
  8131-9101    1-604748    0.0500247   0.0500247   0.0502335   0.873572         39.771            7.99216              0.610868        52.3632          17.8973           3.05406       
  8131-9102    1-377125    0.0584527   0.0584527   0.0586846   0.63973          129.823           4.43222              0.534893        129.934          11.5212           6.0           
  8131-12701   1-584473    0.0171286   0.0171286   0.0180196   0.518495         95.1062           13.1417              0.624673        98.2053          12.7787           0.867676      
  8131-3703    1-377439    0.119084    0.119084    0.119318    0.858225         84.8563           3.79803              0.762127        80.0029          6.88522           6.0           
  8131-6104    1-338359    0.101025    0.101025    0.101252    0.684152         22.2237           5.68792              0.600047        22.6245          7.99472           3.06572       
  8131-12702   1-338305    0.0734901   0.0734901   0.0737038   0.798901         41.28             9.95323              0.796956        44.0676          19.3277           6.0           
  8131-6103    1-338283    0.120054    0.120054    0.120266    0.791088         158.339           6.80189              0.798242        158.254          10.9505           5.62987       
  8131-6102    1-338060    0.0495282   0.0495282   0.0497425   0.874807         77.3121           6.02399              0.782711        74.9183          12.3412           6.0           
  8131-3702    1-377176    0.050231    0.050231    0.0504562   0.783184         83.7939           3.11779              0.679412        81.0164          3.70157           3.08188       
  8131-12703   1-377167    0.0430718   0.0430718   0.043306    0.367666         89.9423           5.87853              0.274868        89.8113          6.79721           1.15414       
  8131-3704    1-338044    0.120859    0.120859    0.121074    0.891646         93.6931           5.33024              0.911469        110.244          7.62502           6.0           
  8131-12705   1-338117    0.141544    0.141544    0.141747    0.887773         93.0708           5.28624              0.915304        93.4879          7.11063           6.0           
  8131-6101    1-338034    0.0518716   0.0518716   0.0520762   0.634577         125.448           3.74505              0.533359        124.596          4.16064           1.73188       
  8131-12704   1-338113    0.0497554   0.0497554   0.0499642   0.504406         9.84323           8.55188              0.349436        2.86572          10.9189           3.2011        
  8131-3701    1-338090    0.0806724   0.0806724   0.0808668   0.744847         140.616           6.2964               0.889237        175.928          159.758           6.0           
  8083-6102    1-37995     0.0364771   0.0364771   0.0367164   0.554429         68.8821           6.70575              0.449125        70.0402          11.2423           5.38553       
  8083-6103    1-38428     0.0360783   0.0360783   0.0363207   0.713938         146.969           3.60799              0.633429        150.718          6.7826            5.68137       
  8083-6101    1-37980     0.0265395   0.0265395   0.0267714   0.340149         135.167           13.3083              0.231397        134.976          16.6906           1.27803       
  8083-1901    1-38157     0.0375755   0.0375755   0.037843    0.525083         138.015           1.9742               0.15            137.722          1.8829            1.40933       
  8083-12702   1-583411    0.0209779   0.0209779   0.0212492   0.153168         4.62041           28.8646              0.735328        7.57043          28.256            2.64219       
  8083-3703    1-38214     0.0364622   0.0364622   0.0367189   0.45333          96.7908           2.9687               0.254949        96.7388          2.8004            0.524369      
  8083-6104    1-38319     0.0376188   0.0376188   0.0378498   0.959501         173.191           1.39777              0.876109        7.6044           1.31728           2.98309       
  8083-12704   1-604053    0.0228308   0.0228308   0.0230777   0.885436         149.755           14.4715              0.894133        154.66           15.3745           0.98595       
  8083-9101    1-38017     0.0382806   0.0382806   0.0385263   0.573842         35.2756           7.52281              0.333413        30.0887          10.3239           3.6354        
  8083-12703   1-38168     0.0243398   0.0243398   0.0246004   0.421139         154.798           9.49882              0.302922        152.782          15.8594           3.79714       
  8083-1902    1-38347     0.036589    0.036589    0.0368253   0.747933         102.894           2.95165              0.491877        99.8177          4.05951           6.0           
  8083-3701    1-38189     0.0375584   0.0375584   0.0378109   0.885134         122.1             2.10018              0.851142        119.389          2.00931           1.95679       
  8083-3704    1-38352     0.0375518   0.0375518   0.0377829   0.467922         104.037           2.82506              0.319229        103.173          2.93871           0.805261      
  8083-12705   1-604039    0.0209112   0.0209112   0.0211746   0.479589         151.84            15.1298              0.429534        151.773          16.5522           1.32036       
  8083-3702    1-38173     0.0238441   0.0238441   0.0241018   0.785912         52.9309           3.00784              0.626054        50.0858          3.28216           2.35558       
  8083-12701   1-38380     0.035921    0.035921    0.0361564   0.297709         71.5629           5.01819              0.15            70.6214          6.33372           1.14435       
  8138-6101    1-339010    0.0313198   0.0313198   0.0315808   0.36191          163.521           5.57316              0.259851        163.975          6.23181           1.20949       
  8138-9102    1-44219     0.0633077   0.0633077   0.0635666   0.742346         97.3713           4.26105              0.599155        92.3707          7.45552           6.0           
  8138-6102    1-339061    0.0203541   0.0203541   0.0206986   0.6179           154.596           7.84979              0.464708        150.55           14.8395           5.22937       
  8138-9101    1-548136    0.0532025   0.0532025   0.0534679   0.759461         45.2767           8.27177              0.681452        45.6178          11.3749           1.84988       
  8138-6103    1-339138    0.0381633   0.0381633   0.0384393   0.334174         74.5487           4.63098              0.203563        73.644           5.00878           1.10391       
